# Measured DMA Master Curve Data
# Frequency (Hz)	E' Storage Modulus (MPa)	E'' Loss Modulus (MPa)
4.18E-03	6.68E+00	7.37E-01
9.00E-03	6.74E+00	6.13E-01
9.95E-03	7.11E+00	8.44E-01
1.94E-02	7.08E+00	6.81E-01
2.14E-02	7.22E+00	7.95E-01
4.18E-02	7.22E+00	1.04E+00
4.33E-02	7.57E+00	8.85E-01
4.62E-02	7.45E+00	9.09E-01
9.00E-02	7.71E+00	9.27E-01
9.33E-02	7.60E+00	8.81E-01
9.95E-02	7.77E+00	1.04E+00
1.94E-01	8.10E+00	9.87E-01
2.01E-01	7.83E+00	1.03E+00
2.09E-01	8.20E+00	1.03E+00
2.14E-01	7.99E+00	9.24E-01
4.18E-01	8.62E+00	5.90E-01
4.33E-01	8.42E+00	9.54E-01
4.49E-01	8.27E+00	1.04E+00
4.62E-01	8.51E+00	1.24E+00
9.33E-01	8.76E+00	1.24E+00
9.68E-01	8.64E+00	1.27E+00
9.95E-01	8.95E+00	1.10E+00
1.00E+00	8.93E+00	1.21E+00
2.01E+00	9.32E+00	1.44E+00
2.09E+00	9.08E+00	1.34E+00
2.15E+00	9.04E+00	1.28E+00
4.33E+00	9.72E+00	1.12E+00
4.49E+00	9.44E+00	1.52E+00
4.64E+00	9.42E+00	1.43E+00
6.54E+00	1.00E+01	1.56E+00
9.68E+00	1.03E+01	1.73E+00
1.00E+01	9.94E+00	1.61E+00
1.41E+01	1.02E+01	1.64E+00
2.09E+01	1.08E+01	1.69E+00
2.15E+01	1.05E+01	1.81E+00
3.04E+01	1.08E+01	1.90E+00
4.50E+01	1.15E+01	2.02E+00
4.64E+01	1.15E+01	2.07E+00
6.54E+01	1.15E+01	2.17E+00
9.68E+01	1.18E+01	2.27E+00
1.00E+02	1.23E+01	2.13E+00
1.41E+02	1.24E+01	2.38E+00
2.09E+02	1.26E+01	2.58E+00
3.03E+02	1.37E+01	2.72E+00
3.41E+02	1.39E+01	2.94E+00
4.50E+02	1.36E+01	2.96E+00
6.54E+02	1.46E+01	2.83E+00
7.34E+02	1.43E+01	3.34E+00
9.68E+02	1.50E+01	3.38E+00
1.58E+03	1.56E+01	3.78E+00
2.09E+03	1.66E+01	4.06E+00
3.26E+03	1.78E+01	4.73E+00
3.41E+03	1.71E+01	4.52E+00
4.50E+03	1.81E+01	4.89E+00
7.03E+03	1.88E+01	5.35E+00
7.34E+03	1.89E+01	5.42E+00
1.51E+04	2.07E+01	6.51E+00
1.58E+04	2.13E+01	6.99E+00
3.26E+04	2.34E+01	7.95E+00
3.41E+04	2.42E+01	8.88E+00
3.91E+04	2.53E+01	8.43E+00
7.03E+04	2.67E+01	1.01E+01
8.42E+04	2.77E+01	1.04E+01
1.51E+05	3.09E+01	1.36E+01
1.82E+05	3.16E+01	1.31E+01
3.26E+05	3.70E+01	1.84E+01
3.91E+05	3.72E+01	1.70E+01
4.36E+05	4.08E+01	1.82E+01
8.43E+05	4.44E+01	2.29E+01
9.39E+05	4.60E+01	2.32E+01
1.82E+06	5.46E+01	3.17E+01
2.02E+06	5.49E+01	3.05E+01
3.91E+06	6.85E+01	4.43E+01
4.36E+06	6.79E+01	4.09E+01
7.93E+06	8.63E+01	5.17E+01
9.39E+06	8.57E+01	5.59E+01
1.71E+07	1.04E+02	6.85E+01
2.02E+07	1.11E+02	7.74E+01
3.68E+07	1.35E+02	9.27E+01
4.36E+07	1.48E+02	1.11E+02
7.93E+07	1.78E+02	1.25E+02
1.71E+08	2.39E+02	1.68E+02
1.96E+08	2.63E+02	1.74E+02
3.68E+08	3.24E+02	2.24E+02
4.22E+08	3.39E+02	2.25E+02
7.93E+08	4.45E+02	3.06E+02
9.08E+08	4.62E+02	2.90E+02
1.96E+09	6.13E+02	3.58E+02
4.22E+09	7.95E+02	4.25E+02
7.82E+09	1.01E+03	4.71E+02
9.08E+09	1.02E+03	4.94E+02
1.68E+10	1.19E+03	5.32E+02
1.96E+10	1.28E+03	6.06E+02
3.63E+10	1.44E+03	5.82E+02
7.82E+10	1.72E+03	6.21E+02
9.89E+10	7.16E+02	5.43E+02
1.69E+11	2.00E+03	6.45E+02
2.13E+11	3.14E+03	7.28E+02
3.63E+11	2.27E+03	6.63E+02
4.59E+11	3.35E+03	7.39E+02
7.82E+11	2.75E+03	8.59E+02
9.89E+11	3.58E+03	7.27E+02
2.13E+12	3.78E+03	7.06E+02
4.59E+12	3.98E+03	7.04E+02
9.89E+12	5.03E+03	1.41E+03
