# Measured Surface PSD Data
# Wavenumber q (1/m)	PSD C(q) (m^4)
2.E+01	3.E-09
2.E+01	2.E-09
2.E+01	2.E-09
2.E+01	1.E-09
2.E+01	1.E-09
2.E+01	7.E-10
3.E+01	6.E-10
3.E+01	4.E-10
3.E+01	3.E-10
4.E+01	2.E-10
4.E+01	2.E-10
4.E+01	1.E-10
5.E+01	1.E-10
5.E+01	8.E-11
6.E+01	6.E-11
6.E+01	4.E-11
7.E+01	3.E-11
7.E+01	3.E-11
8.E+01	2.E-11
9.E+01	1.E-11
9.E+01	1.E-11
1.E+02	8.E-12
1.E+02	6.E-12
1.E+02	5.E-12
1.E+02	3.E-12
1.E+02	3.E-12
2.E+02	2.E-12
2.E+02	2.E-12
2.E+02	1.E-12
2.E+02	9.E-13
2.E+02	6.E-13
3.E+02	5.E-13
3.E+02	4.E-13
3.E+02	3.E-13
3.E+02	2.E-13
4.E+02	2.E-13
4.E+02	1.E-13
4.E+02	9.E-14
5.E+02	7.E-14
5.E+02	5.E-14
6.E+02	4.E-14
6.E+02	3.E-14
7.E+02	2.E-14
8.E+02	2.E-14
8.E+02	1.E-14
9.E+02	9.E-15
1.E+03	7.E-15
1.E+03	5.E-15
1.E+03	4.E-15
1.E+03	3.E-15
1.E+03	2.E-15
2.E+03	2.E-15
2.E+03	1.E-15
2.E+03	1.E-15
2.E+03	7.E-16
2.E+03	6.E-16
2.E+03	4.E-16
3.E+03	3.E-16
3.E+03	2.E-16
3.E+03	2.E-16
4.E+03	1.E-16
4.E+03	1.E-16
4.E+03	8.E-17
5.E+03	6.E-17
5.E+03	4.E-17
6.E+03	3.E-17
6.E+03	3.E-17
7.E+03	2.E-17
7.E+03	1.E-17
8.E+03	1.E-17
9.E+03	8.E-18
9.E+03	6.E-18
1.E+04	5.E-18
1.E+04	4.E-18
1.E+04	3.E-18
1.E+04	2.E-18
1.E+04	2.E-18
2.E+04	1.E-18
2.E+04	9.E-19
2.E+04	6.E-19
2.E+04	5.E-19
2.E+04	4.E-19
3.E+04	3.E-19
3.E+04	2.E-19
3.E+04	2.E-19
3.E+04	1.E-19
4.E+04	9.E-20
4.E+04	7.E-20
4.E+04	5.E-20
5.E+04	4.E-20
5.E+04	3.E-20
6.E+04	2.E-20
6.E+04	2.E-20
7.E+04	1.E-20
8.E+04	9.E-21
8.E+04	7.E-21
9.E+04	5.E-21
1.E+05	4.E-21
1.E+05	3.E-21
1.E+05	2.E-21
1.E+05	2.E-21
1.E+05	1.E-21
2.E+05	1.E-21
2.E+05	7.E-22
2.E+05	6.E-22
2.E+05	4.E-22
2.E+05	3.E-22
2.E+05	2.E-22
3.E+05	2.E-22
3.E+05	1.E-22
3.E+05	1.E-22
4.E+05	8.E-23
4.E+05	6.E-23
4.E+05	4.E-23
5.E+05	3.E-23
5.E+05	3.E-23
6.E+05	2.E-23
6.E+05	1.E-23
7.E+05	1.E-23
7.E+05	8.E-24
8.E+05	6.E-24
9.E+05	5.E-24
1.E+06	4.E-24
1.E+06	3.E-24
1.E+06	2.E-24
1.E+06	2.E-24
1.E+06	1.E-24
1.E+06	9.E-25
2.E+06	6.E-25
2.E+06	5.E-25
2.E+06	4.E-25
2.E+06	3.E-25
2.E+06	2.E-25
3.E+06	2.E-25
3.E+06	1.E-25
3.E+06	9.E-26
3.E+06	7.E-26
4.E+06	5.E-26
4.E+06	4.E-26
4.E+06	3.E-26
5.E+06	2.E-26
5.E+06	2.E-26
6.E+06	1.E-26
6.E+06	9.E-27
7.E+06	7.E-27
8.E+06	5.E-27
8.E+06	4.E-27
9.E+06	3.E-27
1.E+07	2.E-27
1.E+07	2.E-27
1.E+07	1.E-27
1.E+07	1.E-27
1.E+07	7.E-28
2.E+07	6.E-28
2.E+07	4.E-28
2.E+07	3.E-28
2.E+07	2.E-28
2.E+07	2.E-28
2.E+07	1.E-28
3.E+07	1.E-28
3.E+07	8.E-29
3.E+07	6.E-29
4.E+07	4.E-29
4.E+07	3.E-29
4.E+07	3.E-29
5.E+07	2.E-29
5.E+07	1.E-29
6.E+07	1.E-29
6.E+07	8.E-30
7.E+07	6.E-30
7.E+07	5.E-30
8.E+07	4.E-30
9.E+07	3.E-30
1.E+08	2.E-30
1.E+08	2.E-30
1.E+08	1.E-30
1.E+08	9.E-31
1.E+08	6.E-31
1.E+08	5.E-31
2.E+08	4.E-31
2.E+08	3.E-31
2.E+08	2.E-31
2.E+08	2.E-31
2.E+08	1.E-31
3.E+08	9.E-32
3.E+08	7.E-32
3.E+08	5.E-32
3.E+08	4.E-32
4.E+08	3.E-32
4.E+08	2.E-32
4.E+08	2.E-32
5.E+08	1.E-32
5.E+08	9.E-33
6.E+08	7.E-33
6.E+08	5.E-33
7.E+08	4.E-33
8.E+08	3.E-33
8.E+08	2.E-33
9.E+08	2.E-33
1.E+09	1.E-33
