# 내장 마스터 커브 데이터
# 원본: S100-2.13 F.txt
# freq (Hz)	E' (Pa)	E'' (Pa)
1.438999999999999958e-03	4.644000000000000000e+06	3.137000000000000000e+05
3.099999999999999891e-03	4.835000000000000000e+06	4.251000000000000000e+05
6.679000000000000041e-03	4.934000000000000000e+06	4.495000000000000000e+05
1.027999999999999921e-02	4.804000000000000000e+06	4.468000000000000000e+05
1.439000000000000001e-02	5.288000000000000000e+06	4.600000000000000000e+05
2.214999999999999955e-02	5.083000000000000000e+06	4.504000000000000000e+05
3.099999999999999978e-02	5.367000000000000000e+06	3.350000000000000000e+05
3.687000000000000000e-02	5.050000000000000000e+06	4.951000000000000000e+05
4.773000000000000159e-02	5.348000000000000000e+06	5.866000000000000000e+05
6.679000000000000214e-02	5.572000000000000000e+06	5.353000000000000000e+05
7.943999999999999673e-02	5.342000000000000000e+06	5.491000000000000000e+05
1.028000000000000025e-01	5.499000000000000000e+06	4.959000000000000000e+05
1.439000000000000001e-01	5.422000000000000000e+06	2.098000000000000000e+05
1.711999999999999911e-01	5.576000000000000000e+06	6.681000000000000000e+05
1.864999999999999991e-01	5.439000000000000000e+06	5.532000000000000000e+05
2.215000000000000024e-01	5.719000000000000000e+06	5.843000000000000000e+05
3.687000000000000277e-01	5.742000000000000000e+06	6.410000000000000000e+05
4.017000000000000015e-01	5.671000000000000000e+06	5.773000000000000000e+05
4.773000000000000020e-01	5.988000000000000000e+06	5.568000000000000000e+05
7.943999999999999950e-01	5.936000000000000000e+06	5.519000000000000000e+05
8.653999999999999471e-01	5.858000000000000000e+06	6.011000000000000000e+05
1.000000000000000000e+00	5.967000000000000000e+06	6.300000000000000000e+05
1.028000000000000025e+00	5.970000000000000000e+06	1.728000000000000000e+05
1.711999999999999966e+00	6.239000000000000000e+06	7.336000000000000000e+05
1.864999999999999991e+00	6.213000000000000000e+06	5.629000000000000000e+05
2.154999999999999805e+00	6.147000000000000000e+06	6.888000000000000000e+05
3.686999999999999833e+00	6.274000000000000000e+06	2.629000000000000000e+05
4.017000000000000348e+00	6.282000000000000000e+06	6.132000000000000000e+05
4.642000000000000348e+00	6.389000000000000000e+06	7.091000000000000000e+05
8.532000000000000028e+00	6.677000000000000000e+06	7.630000000000000000e+05
8.653999999999999915e+00	6.741000000000000000e+06	9.438000000000000000e+05
1.000000000000000000e+01	6.783000000000000000e+06	7.418000000000000000e+05
1.837999999999999901e+01	6.858000000000000000e+06	8.277000000000000000e+05
1.864999999999999858e+01	6.914000000000000000e+06	4.023000000000000000e+05
2.153999999999999915e+01	6.966000000000000000e+06	9.185000000000000000e+05
3.960000000000000142e+01	7.200000000000000000e+06	9.638000000000000000e+05
4.642000000000000171e+01	7.268000000000000000e+06	8.359000000000000000e+05
8.531999999999999318e+01	7.523000000000000000e+06	9.683000000000000000e+05
8.732999999999999829e+01	7.562000000000000000e+06	9.669000000000000000e+05
1.000000000000000000e+02	7.718000000000000000e+06	6.419000000000000000e+05
1.838000000000000114e+02	7.964000000000000000e+06	1.106000000000000000e+06
1.880999999999999943e+02	7.860000000000000000e+06	1.020000000000000000e+06
3.960000000000000000e+02	8.473000000000000000e+06	1.111000000000000000e+06
4.053000000000000114e+02	8.249000000000000931e+06	1.141000000000000000e+06
8.532000000000000455e+02	8.641000000000000000e+06	1.342000000000000000e+06
8.732000000000000455e+02	8.645000000000000000e+06	1.224000000000000000e+06
9.520000000000000000e+02	8.813000000000000000e+06	1.260000000000000000e+06
1.881000000000000000e+03	9.198000000000000000e+06	1.358000000000000000e+06
2.051000000000000000e+03	9.153000000000000000e+06	1.394000000000000000e+06
4.053000000000000000e+03	9.807000000000000000e+06	1.756000000000000000e+06
4.419000000000000000e+03	9.717000000000000000e+06	1.553000000000000000e+06
8.732000000000000000e+03	1.028000000000000000e+07	1.800000000000000000e+06
9.520000000000000000e+03	1.028000000000000000e+07	1.866000000000000000e+06
1.236000000000000000e+04	1.080000000000000000e+07	1.840000000000000000e+06
2.051000000000000000e+04	1.123000000000000000e+07	2.293000000000000000e+06
2.663000000000000000e+04	1.138000000000000000e+07	2.113000000000000000e+06
4.419000000000000000e+04	1.191000000000000000e+07	2.808000000000000000e+06
5.736000000000000000e+04	1.235000000000000000e+07	2.574000000000000000e+06
9.520000000000000000e+04	1.309000000000000000e+07	3.722000000000000000e+06
1.236000000000000000e+05	1.339000000000000000e+07	3.127000000000000000e+06
1.768000000000000000e+05	1.432000000000000000e+07	3.213000000000000000e+06
2.663000000000000000e+05	1.449000000000000000e+07	3.982000000000000000e+06
3.810000000000000000e+05	1.541000000000000000e+07	4.016000000000000000e+06
5.736000000000000000e+05	1.619000000000000186e+07	5.636000000000000000e+06
8.208000000000000000e+05	1.701000000000000000e+07	5.120000000000000000e+06
1.236000000000000000e+06	1.858000000000000000e+07	7.855000000000000000e+06
1.768000000000000000e+06	1.920000000000000000e+07	6.966000000000000000e+06
2.021000000000000000e+06	2.058000000000000000e+07	6.916000000000000000e+06
3.810000000000000000e+06	2.224000000000000000e+07	9.810000000000000000e+06
4.355000000000000000e+06	2.318000000000000000e+07	9.486000000000000000e+06
8.208000000000000000e+06	2.675000000000000000e+07	1.439000000000000000e+07
9.383000000000000000e+06	2.715000000000000000e+07	1.333000000000000000e+07
1.768000000000000000e+07	3.271000000000000000e+07	2.157000000000000000e+07
2.021000000000000000e+07	3.297000000000000000e+07	1.931000000000000000e+07
3.866000000000000000e+07	4.138000000000000000e+07	2.554000000000000000e+07
4.355000000000000000e+07	4.129000000000000000e+07	2.833000000000000000e+07
8.328000000000000000e+07	5.202000000000000000e+07	3.733000000000000000e+07
9.383000000000000000e+07	5.430000000000000000e+07	4.207000000000000000e+07
1.794000000000000000e+08	6.870000000000000000e+07	5.548000000000000000e+07
2.021000000000000000e+08	7.386000000000000000e+07	6.476999999999999255e+07
3.865000000000000000e+08	9.431000000000000000e+07	8.282000000000000000e+07
8.328000000000000000e+08	1.330000000000000000e+08	1.230000000000000000e+08
1.794000000000000000e+09	1.932000000000000000e+08	1.838000000000000000e+08
3.865000000000000000e+09	2.869000000000000000e+08	2.789000000000000000e+08
