# 내장 마스터 커브 데이터
# 원본: S120-R.txt
# freq (Hz)	E' (Pa)	E'' (Pa)
2.077999999999999986e-03	4.040554782351354137e+06	4.305769288537504035e+05
4.478000000000000209e-03	4.157527674719700590e+06	4.732052930848012911e+05
7.082999999999999886e-03	4.265503680621094070e+06	5.089465543352053501e+05
9.646999999999999326e-03	4.364603746847602539e+06	5.368401150509839645e+05
1.525999999999999926e-02	4.455094845031933859e+06	5.565374475309355184e+05
2.077999999999999986e-02	4.537378671912874095e+06	5.682597852525862399e+05
3.287000000000000338e-02	4.611979194843448699e+06	5.727024023722060956e+05
3.631000000000000200e-02	4.679529633371829055e+06	5.709092624129726319e+05
4.478000000000000036e-02	4.740759427786707878e+06	5.641409511487745913e+05
7.083000000000000407e-02	4.796481693588492461e+06	5.537542445866989437e+05
7.821999999999999786e-02	4.847581601939166896e+06	5.411053966623175656e+05
9.647000000000000020e-02	4.895006064925908111e+06	5.274830019227524754e+05
1.338999999999999913e-01	4.942966793020071462e+06	5.120819683151986683e+05
1.526000000000000134e-01	4.987539693136399612e+06	5.093170541965056327e+05
1.685000000000000109e-01	5.038405003819208592e+06	5.021023273645102745e+05
2.078000000000000125e-01	5.073853427112374455e+06	5.048715760279435781e+05
2.884999999999999787e-01	5.113527957819580100e+06	5.396043349166564876e+05
3.286999999999999922e-01	5.165811946335089393e+06	5.293305227808074560e+05
3.630999999999999783e-01	5.234854222649322823e+06	5.303220341364111518e+05
6.215000000000000524e-01	5.283825137949139811e+06	5.274483521181661636e+05
7.083000000000000407e-01	5.350132881286937743e+06	5.383827491595598403e+05
7.822000000000000064e-01	5.434435133055937476e+06	5.596205203311255900e+05
1.000000000000000000e+00	5.500596706032801419e+06	5.796318360198239097e+05
1.338999999999999968e+00	5.584456000551612116e+06	6.047313205710796174e+05
1.685000000000000053e+00	5.665111546912902966e+06	6.352406475629550405e+05
2.154999999999999805e+00	5.762585593324267305e+06	6.650643567547455896e+05
2.884999999999999787e+00	5.832918939426076598e+06	7.094939396845446900e+05
3.630999999999999783e+00	5.945376831310585141e+06	6.838186628600669792e+05
4.642000000000000348e+00	6.056022882633120753e+06	7.308420886840138119e+05
6.214999999999999858e+00	6.168248296747813933e+06	7.582500892104431987e+05
9.295999999999999375e+00	6.274173319794795476e+06	7.923900813378663734e+05
1.000000000000000000e+01	6.383691194484460168e+06	8.308977886446255725e+05
1.339000000000000057e+01	6.493071450746179558e+06	8.297529714498842368e+05
2.003000000000000114e+01	6.598964726094191894e+06	8.557901479314020835e+05
2.153999999999999915e+01	6.735786672398085706e+06	8.925204524887844454e+05
4.314999999999999858e+01	6.876272559071708471e+06	9.501914195089952555e+05
4.642000000000000171e+01	7.022401850175243802e+06	1.015388661745226942e+06
8.029999999999999716e+01	7.170898151612767018e+06	1.078799900081351632e+06
9.295999999999999375e+01	7.320241431150417775e+06	1.156947445587382186e+06
1.000000000000000000e+02	7.503361487434695475e+06	1.135542095625953982e+06
1.730000000000000000e+02	7.660051392549651675e+06	1.188208632902717218e+06
2.003000000000000114e+02	7.843921572716126218e+06	1.250795187020914862e+06
3.726999999999999886e+02	8.047641448872389272e+06	1.329056333095927490e+06
4.315000000000000000e+02	8.259593664873270318e+06	1.403587649115978740e+06
7.575000000000000000e+02	8.491115821492344141e+06	1.452730710461627226e+06
8.030000000000000000e+02	8.720619837036494166e+06	1.513182930230282713e+06
9.296000000000000227e+02	8.962589992011461407e+06	1.597630150287702680e+06
1.632000000000000000e+03	9.221289901452407241e+06	1.680227364471389679e+06
1.730000000000000000e+03	9.519851836952345446e+06	1.812164503881648183e+06
3.516000000000000000e+03	9.827768691321600229e+06	1.958248848358945223e+06
3.727000000000000000e+03	1.015414749204045348e+07	2.097207530836381018e+06
7.575000000000000000e+03	1.049115325921723619e+07	2.204356695240545087e+06
8.030000000000000000e+03	1.084799636578496546e+07	2.337993094472245779e+06
1.037000000000000000e+04	1.124377319269625098e+07	2.520775452746936120e+06
1.632000000000000000e+04	1.165083134845255688e+07	2.691196883732817601e+06
2.234000000000000000e+04	1.213630197385410778e+07	2.930162617563206237e+06
3.516000000000000000e+04	1.268381465461830236e+07	3.233949200271278154e+06
4.813000000000000000e+04	1.325965898491933942e+07	3.548011978089932352e+06
