# Strain Sweep 내장 데이터
# T(C)	Freq(Hz)	Strain	E'(Pa)	E''(Pa)
-0.01	1.0	0.00998182	16.9943	2.82644
-0.01	1.0	0.00999294	12.8436	1.86957
-0.01	1.0	0.0133109	16.9662	2.81319
-0.01	1.0	0.0177398	16.9536	2.8449
-0.01	1.0	0.0236593	16.9186	2.87193
-0.01	1.0	0.0315614	16.8016	2.9038
-0.01	1.0	0.0420924	16.6118	2.94723
-0.01	1.0	0.0561252	16.3321	2.9967
-0.01	1.0	0.0748406	15.966	3.058
-0.01	1.0	0.0998198	15.4934	3.1242
-0.01	1.0	0.133114	14.9063	3.18013
-0.01	1.0	0.177521	14.2183	3.21329
-0.01	1.0	0.236732	13.4565	3.21507
-0.01	1.0	0.315686	12.6545	3.17785
-0.01	1.0	0.420996	11.8378	3.0978
-0.01	1.0	0.561446	11.0243	2.97674
-0.01	1.0	0.74868	10.227	2.82079
-0.01	1.0	0.998465	9.44657	2.63664
-0.01	1.0	1.33159	8.67962	2.4335
-0.01	1.0	1.77569	7.91177	2.21788
-0.01	1.0	2.36833	7.13292	1.9979
-0.01	1.0	3.15843	6.33883	1.77816
-0.01	1.0	4.21222	5.54583	1.56465
-0.01	1.0	5.61743	4.7823	1.36069
-0.01	1.0	7.49072	4.07527	1.16651
-0.01	1.0	9.98705	3.44994	0.982085
-0.01	1.0	13.31	2.9111	0.806282
-0.01	1.0	17.7413	2.48157	0.64435
-0.01	1.0	23.9791	2.35521	0.505148
-0.01	1.0	24.7251	2.28742	0.472207
10.01	1.0	0.0133173	12.7831	1.85321
10.01	1.0	0.0177608	12.7666	1.86915
10.01	1.0	0.0236912	12.719	1.8918
10.01	1.0	0.0315947	12.6221	1.90831
10.01	1.0	0.0421359	12.4929	1.93492
10.01	1.0	0.0562081	12.3105	1.96332
10.01	1.0	0.0749568	12.07	1.99541
10.01	1.0	0.099956	11.7587	2.02727
10.01	1.0	0.133281	11.3805	2.05876
10.01	1.0	0.177753	10.9309	2.07417
10.01	1.0	0.23704	10.4398	2.07432
10.01	1.0	0.316079	9.91523	2.05059
10.01	1.0	0.421504	9.37207	2.0027
10.01	1.0	0.562135	8.82109	1.93207
10.01	1.0	0.749643	8.26226	1.84053
10.01	1.0	0.999694	7.70802	1.72433
10.01	1.0	1.33319	7.16486	1.59998
10.01	1.0	1.77794	6.61878	1.47506
10.01	1.0	2.37116	6.05632	1.34967
10.01	1.0	3.16232	5.4675	1.22272
10.01	1.0	4.21735	4.85893	1.09661
10.01	1.0	5.62444	4.24855	0.973023
10.01	1.0	7.50102	3.66406	0.852235
10.01	1.0	10.0022	3.1342	0.733845
10.01	1.0	13.3332	2.68231	0.618221
10.01	1.0	17.7718	2.31492	0.506983
10.01	1.0	23.7139	1.99339	0.405655
10.01	1.0	27.4617	2.06536	0.355416
29.87	1.0	0.00997989	7.46548	0.890054
29.87	1.0	0.0133424	7.41779	0.888294
29.87	1.0	0.0177686	7.39837	0.887324
29.87	1.0	0.0236548	7.38791	0.891838
29.87	1.0	0.0315505	7.35747	0.89696
29.87	1.0	0.0420583	7.32197	0.908259
29.87	1.0	0.056113	7.25071	0.914638
29.87	1.0	0.0748573	7.16315	0.922999
29.87	1.0	0.0998256	7.0533	0.935537
29.87	1.0	0.133089	6.91447	0.945434
29.87	1.0	0.177478	6.75463	0.955158
29.87	1.0	0.2367	6.57442	0.959899
29.87	1.0	0.315636	6.37599	0.959083
29.87	1.0	0.420905	6.16492	0.952096
29.87	1.0	0.561284	5.93878	0.936482
29.87	1.0	0.748533	5.70058	0.912892
29.87	1.0	0.998276	5.44887	0.881539
29.87	1.0	1.33136	5.18132	0.84355
29.87	1.0	1.77553	4.89108	0.800055
29.87	1.0	2.36797	4.57061	0.752476
29.87	1.0	3.15823	4.21189	0.701229
29.87	1.0	4.2121	3.81506	0.647463
29.87	1.0	5.61765	3.39179	0.591663
29.87	1.0	7.49236	2.96514	0.534516
29.87	1.0	9.99222	2.56246	0.475467
29.87	1.0	13.324	2.20802	0.414071
29.87	1.0	17.7615	1.91122	0.350476
29.87	1.0	23.6809	1.66904	0.287887
49.97	1.0	0.0100033	7.33063	0.79848
49.97	1.0	0.013383	7.32138	0.794961
49.97	1.0	0.0177714	7.3529	0.808256
49.97	1.0	0.0236844	7.32317	0.805081
49.97	1.0	0.031593	7.28337	0.802542
49.97	1.0	0.0421052	7.23902	0.813542
49.97	1.0	0.0561514	7.17318	0.822753
49.97	1.0	0.0748853	7.08584	0.834581
49.97	1.0	0.0998577	6.9742	0.846107
49.97	1.0	0.133162	6.83121	0.857364
49.97	1.0	0.1776	6.67205	0.865572
49.97	1.0	0.236829	6.49276	0.869575
49.97	1.0	0.315815	6.29851	0.868863
49.97	1.0	0.421176	6.09311	0.860427
49.97	1.0	0.561671	5.87438	0.843594
49.97	1.0	0.749055	5.64277	0.818896
49.97	1.0	0.998911	5.39608	0.786925
49.97	1.0	1.33214	5.12976	0.748383
49.97	1.0	1.77658	4.83993	0.705286
49.97	1.0	2.36921	4.52129	0.659049
49.97	1.0	3.15986	4.16832	0.61066
49.97	1.0	4.21412	3.78122	0.560766
49.97	1.0	5.61989	3.37124	0.510274
49.97	1.0	7.49472	2.95963	0.459383
49.97	1.0	9.99487	2.57091	0.407965
49.97	1.0	13.3262	2.22039	0.355517
49.97	1.0	17.7643	1.92308	0.302464
49.97	1.0	23.685	1.68	0.25178
